시군구명,시도명,관광지명,Unnamed: 3,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,방문자수,맛집정보,숙박정보
강서구,서울특별시,서울식물원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=309a0548-b732-4f85-8c2f-e45971f30df2,자연,자연관광지,수목원,5964,"[('곱창이야기 마곡본점', '곱창,막창,양'), ('지피다 마곡나루', '육류,고기요리'), ('보스 간장게장 서울식물원점', '게요리'), ('서울식물원식당 경복궁', '한식'), ('커피에꽃을담다 서울식물원점', '카페,디저트'), ('카페코레우리 서울식물원점', '카페,디저트'), ('스테프핫도그 서울식물원점', '핫도그'), ('멘무샤 서울식물원마곡나루역점', '일본식라면')]","[('코트야드 메리어트 서울 보타닉파크 호텔', '호텔'), ('마곡롯데캐슬르웨스트(2024년08월예정)', '생활형숙박시설'), ('VL르웨스트(2025년10월예정)', '생활형숙박시설'), ('에어포트 게스트하우스', '게스트하우스'), ('코지웰', '게스트하우스'), ('스테이림', '민박')]"
강서구,서울특별시,강서농산물도매시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=56d81bd3-606a-473b-801c-faf2b0c2b55b,쇼핑,쇼핑,상설시장,1682,"[('오유미당 마곡점', '돈가스'), ('상구네돼지구이 마곡점', '육류,고기요리'), ('청북경오리', '중식당'), ('우대포 마곡점', '육류,고기요리'), ('옥소반 마곡본점', '샤브샤브'), ('홍박식당', '육류,고기요리')]","[('인터시티365', '호텔'), ('더퍼스트스테이 호텔', '호텔'), ('호텔 엠펠리체', '호텔'), ('메이필드호텔', '호텔'), ('리츠 모텔', '모텔'), ('코트야드 메리어트 서울 보타닉파크 호텔', '호텔')]"
강서구,서울특별시,양천향교,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=ff9079dc-2ac1-4ab4-a918-391bc16054a0,인문(문화/예술/역사),역사관광지,유적지/사적지,1453,"[('곱창이야기 마곡본점', '곱창,막창,양'), ('지피다 마곡나루', '육류,고기요리'), ('신세대맥주 마곡나루점', '맥주,호프'), ('야키니쿠 진범 본점', '육류,고기요리'), ('오유미당 마곡점', '돈가스'), ('이가네 양갈비 양꼬치 마곡나루점', '양꼬치'), ('우아하계', '닭갈비'), ('청북경오리', '중식당')]","[('코트야드 메리어트 서울 보타닉파크 호텔', '호텔'), ('에스알 호텔 마곡', '호텔'), ('인터시티365', '호텔'), ('더퍼스트스테이 호텔', '호텔'), ('골든호텔', '모텔'), ('호텔 엠펠리체', '호텔')]"
강서구,서울특별시,허준박물관,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=8b13a231-ed96-475c-8e68-5fe4a92078d9,인문(문화/예술/역사),문화시설,박물관,702,"[('미래회관 마곡점', '육류,고기요리'), ('곱창이야기 마곡본점', '곱창,막창,양'), ('야키니쿠 진범 본점', '육류,고기요리'), ('감성9091돼지', '돼지고기구이'), ('오유미당 마곡점', '돈가스'), ('옥된장 양천로점', '한식'), ('청북경오리', '중식당'), ('덕본계 마곡본점', '오리요리')]","[('에스알 호텔 마곡', '호텔'), ('인터시티365', '호텔'), ('더퍼스트스테이 호텔', '호텔'), ('골든호텔', '모텔'), ('제이케이블라썸 호텔', '호텔'), ('호텔 엠펠리체', '호텔')]"
강서구,서울특별시,방신재래시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=316d4085-dd4b-4a16-bb95-4bbbdf4251a0,쇼핑,쇼핑,상설시장,596,"[('방화동쭈꾸미마을1997', '주꾸미요리'), ('꾸이꾸이 돼지촌 쭈꾸미 본점', '주꾸미요리'), ('원조나주곰탕', '곰탕,설렁탕'), ('엄지척 떡볶이 꼬마김밥', '종합분식'), ('남다른감자탕 서울방화점', '감자탕'), ('장수촌왕솥뚜껑삼겹살', '육류,고기요리')]","[('심플스테이', '모텔'), ('대우모텔', '모텔'), ('에어포트 게스트하우스', '게스트하우스'), ('스테이림', '민박'), ('코트야드 메리어트 서울 보타닉파크 호텔', '호텔'), ('언니네', '게스트하우스')]"
강서구,서울특별시,화곡본동시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=abe1ba33-4f0d-4e3e-9ff9-4f2db110c063,쇼핑,쇼핑,상설시장,194,"[('곱창이야기 마곡본점', '곱창,막창,양'), ('고기원칙 강서구청점', '고기원칙'), ('화곡영양족발', '족발,보쌈'), ('추천해꼬막짬뽕', '중식당'), ('원조동글갈비', '육류,고기요리'), ('조선제일빵', '베이커리'), ('정육식당 한우포차', '정육식당'), ('묵자식당', '덮밥')]","[('HOTEL THEME', '모텔'), ('알프스모텔', '모텔'), ('모텔Goodday', '모텔'), ('제일모텔', '모텔'), ('금성여관', '여관'), ('제일여관', '여관')]"
강서구,서울특별시,송화벽화시장,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=0e0a78e8-8832-4e86-82d4-4fa7cea39250,쇼핑,쇼핑,상설시장,162,"[('촌놈떡갈비 송화벽화시장점', '육류,고기요리')]","[('메이필드호텔', '호텔'), ('인터시티365', '호텔'), ('더퍼스트스테이 호텔', '호텔'), ('에스알 호텔 마곡', '호텔'), ('호텔 엠펠리체', '호텔'), ('골든호텔', '모텔')]"
강서구,서울특별시,롯데몰 김포공항,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=97e2a57f-f8d5-43ea-b6dc-cbbe07a94585,쇼핑,쇼핑,전문매장/상가,114,"[('떡블랑', '케이크전문'), ('봄담아', '샤브샤브'), ('딘타이펑 롯데몰김포공항점', '중식당'), ('피코리코 롯데몰 김포공항점', '카페,디저트'), ('연남토마 롯데몰 김포공항점', '퓨전음식'), ('갓덴스시 롯데몰 김포공항점', '초밥,롤'), ('노티드 롯데몰 김포공항점', '카페'), ('명동가츠라 롯데몰김포공항점', '일식당')]","[('롯데시티호텔 김포공항', '호텔'), ('로얄스퀘어 호텔', '호텔'), ('티파니호텔', '모텔'), ('심플스테이', '모텔'), ('다산하우스', '게스트하우스'), ('썸모텔', '모텔')]"
강서구,서울특별시,방화대교,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=09b8a8dd-c2b9-4bd2-9eaf-02b0138e6a07,인문(문화/예술/역사),건축/조형물,다리/대교,112,"[('아이맛이야장작철판구이 본점', '육류,고기요리'), ('행주산성 원조국수집', '국수'), ('행주산성 선유재', '한식'), ('행주만리', '한식'), ('카페 텐나인', '카페,디저트'), ('더츠커피팩토리', '카페')]","[('국제청소년센터 유스호스텔', '호스텔'), ('감나무골', '한식'), ('Cozy Room', '게스트하우스')]"
강서구,서울특별시,구암공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=1a252868-2857-4bec-86f0-a747995e66a5,인문(문화/예술/역사),휴양관광지,공원,109,"[('의정부 부대찌개', '한식'), ('더드림삼겹살전문점 대구칠곡점', '육류,고기요리')]","[('에이치에비뉴호텔 대구동천점', '호텔'), ('엘리제모텔', '모텔'), ('호텔 벤 동천점', '모텔'), ('스위트호텔', '모텔'), ('발렌타인모텔', '모텔'), ('브라운도트호텔 대구동천점', '호텔')]"
강서구,서울특별시,롯데백화점 김포공항점,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=2f0f4760-774e-411e-badf-374c9db81f3f,쇼핑,쇼핑,백화점,54,"[('떡블랑', '케이크전문'), ('봄담아', '샤브샤브'), ('애슐리퀸즈 롯데백화점 김포공항점', '패밀리레스토랑'), ('삼미식당 롯데백화점 김포공항점', '한식'), ('동동국수 롯데백화점 김포공항점', '국수'), ('T.G.I.프라이데이스 롯데백화점 김포공항점', '패밀리레스토랑'), ('속초코다리냉면 롯데백화점김포공항점', '냉면'), ('포응온롯데백화점김포공항점', '국수')]","[('롯데시티호텔 김포공항', '호텔'), ('로얄스퀘어 호텔', '호텔'), ('티파니호텔', '모텔'), ('심플스테이', '모텔'), ('다산하우스', '게스트하우스'), ('썸모텔', '모텔')]"
강서구,서울특별시,강서한강공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=ec04aa83-c374-404c-9057-b008a39e435c,인문(문화/예술/역사),휴양관광지,공원,30,"[('비포레', '카페,디저트'), ('녹향원', '한식'), ('아이맛이야장작철판구이 본점', '육류,고기요리'), ('도담 곤드레 한정식 행주산성점', '한정식'), ('행주산성 원조국수집', '국수'), ('행주국수', '국수'), ('신촌기사식당', '한식'), ('원주추어탕', '추어탕')]","[('Cozy Room', '게스트하우스'), ('국제청소년센터 유스호스텔', '호스텔'), ('감나무골', '한식'), ('게스트하우스 더 레드', '게스트하우스'), ('서울 엔젤 B&B', '게스트하우스'), ('RnR House', '게스트하우스')]"
강서구,서울특별시,초콜릿,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=80f88788-f742-406f-8615-3d4e24614516,숙박,숙박시설,모텔,10,"[('솔케이크', '카페,디저트'), ('핸스메이드', '초콜릿전문점'), ('공차 김해내동점', '차'), ('투썸플레이스 주촌선천지구점', '카페'), ('윤점빵', '카페,디저트'), ('오월에스프레소', '카페')]","[('키위모텔', '모텔'), ('다온다 호텔', '모텔'), ('스타모텔', '모텔'), ('뮤즈모텔', '모텔'), ('발렌타인모텔', '모텔'), ('달빛,그리고 작은집', '펜션')]"
